name,original_name,cell,x_um,y_um,width_um,height_um,orient,row
Xr1_grp3_inv,Xr1_grp3_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,77.27999999999999,15.68,2.24,3.92,FS,bottom_ctrl_3
Xr1_grp4_inv,Xr1_grp4_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,77.27999999999999,19.6,2.24,3.92,N,bottom_ctrl_4
Xr1_grp5_inv,Xr1_grp5_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,77.27999999999999,23.52,2.24,3.92,FS,bottom_ctrl_5
Xr1_grp6_inv,Xr1_grp6_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,77.27999999999999,27.439999999999998,2.24,3.92,N,bottom_ctrl_6
Xr1_grp7_inv,Xr1_grp7_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,77.27999999999999,31.36,2.24,3.92,FS,bottom_ctrl_7
Xr1_pd0_0_inv,Xr1_pd0_0_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,77.27999999999999,598.4399999999999,2.24,3.92,N,top_ctrl_0
Xr1_pd0_1_inv,Xr1_pd0_1_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,77.27999999999999,606.28,2.24,3.92,N,top_ctrl_2
Xr1_pd0_2_inv,Xr1_pd0_2_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,77.27999999999999,610.1999999999999,2.24,3.92,FS,top_ctrl_3
Xr1_pd0_3_inv,Xr1_pd0_3_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,77.83999999999999,602.3599999999999,2.24,3.92,FS,top_ctrl_1
Xr1_pd1_0_inv,Xr1_pd1_0_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,78.96,3.92,2.24,3.92,N,bottom_ctrl_0
Xr1_pd1_1_inv,Xr1_pd1_1_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,78.96,7.84,2.24,3.92,FS,bottom_ctrl_1
Xr1_pd1_2_inv,Xr1_pd1_2_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,79.51999999999998,11.76,2.24,3.92,N,bottom_ctrl_2
Xr1_pd1_3_inv,Xr1_pd1_3_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,79.51999999999998,15.68,2.24,3.92,FS,bottom_ctrl_3
Xr1_pd2_0_inv,Xr1_pd2_0_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,79.51999999999998,19.6,2.24,3.92,N,bottom_ctrl_4
Xr1_pd2_1_inv,Xr1_pd2_1_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,79.51999999999998,23.52,2.24,3.92,FS,bottom_ctrl_5
Xr1_pd2_2_inv,Xr1_pd2_2_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,79.51999999999998,27.439999999999998,2.24,3.92,N,bottom_ctrl_6
Xr1_pd2_3_inv,Xr1_pd2_3_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,79.51999999999998,31.36,2.24,3.92,FS,bottom_ctrl_7
Xr1_pd2_4_inv,Xr1_pd2_4_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,79.51999999999998,598.4399999999999,2.24,3.92,N,top_ctrl_0
Xr1_pd2_5_inv,Xr1_pd2_5_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,79.51999999999998,606.28,2.24,3.92,N,top_ctrl_2
Xr1_pd2_6_inv,Xr1_pd2_6_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,79.51999999999998,610.1999999999999,2.24,3.92,FS,top_ctrl_3
Xr1_pd2_7_inv,Xr1_pd2_7_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,80.07999999999998,602.3599999999999,2.24,3.92,FS,top_ctrl_1
Xeq_a0_inv,Xeq_a0_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,81.19999999999999,3.92,2.24,3.92,N,bottom_ctrl_0
Xeq_b0_inv,Xeq_b0_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,81.19999999999999,7.84,2.24,3.92,FS,bottom_ctrl_1
Xeq_ab0_inv,Xeq_ab0_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,81.75999999999998,11.76,2.24,3.92,N,bottom_ctrl_2
Xeq_nanb0_inv,Xeq_nanb0_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,81.75999999999998,15.68,2.24,3.92,FS,bottom_ctrl_3
Xeq_xnor0_inv,Xeq_xnor0_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,81.75999999999998,19.6,2.24,3.92,N,bottom_ctrl_4
Xeq_a1_inv,Xeq_a1_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,81.75999999999998,23.52,2.24,3.92,FS,bottom_ctrl_5
Xeq_b1_inv,Xeq_b1_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,81.75999999999998,27.439999999999998,2.24,3.92,N,bottom_ctrl_6
Xeq_ab1_inv,Xeq_ab1_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,81.75999999999998,31.36,2.24,3.92,FS,bottom_ctrl_7
Xeq_nanb1_inv,Xeq_nanb1_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,81.75999999999998,598.4399999999999,2.24,3.92,N,top_ctrl_0
Xeq_xnor1_inv,Xeq_xnor1_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,81.75999999999998,606.28,2.24,3.92,N,top_ctrl_2
Xeq_a2_inv,Xeq_a2_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,81.75999999999998,610.1999999999999,2.24,3.92,FS,top_ctrl_3
Xeq_b2_inv,Xeq_b2_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,82.31999999999998,602.3599999999999,2.24,3.92,FS,top_ctrl_1
Xeq_ab2_inv,Xeq_ab2_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,83.43999999999998,3.92,2.24,3.92,N,bottom_ctrl_0
Xeq_nanb2_inv,Xeq_nanb2_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,83.43999999999998,7.84,2.24,3.92,FS,bottom_ctrl_1
Xeq_xnor2_inv,Xeq_xnor2_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,83.99999999999997,11.76,2.24,3.92,N,bottom_ctrl_2
Xeq_a3_inv,Xeq_a3_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,83.99999999999997,15.68,2.24,3.92,FS,bottom_ctrl_3
Xeq_b3_inv,Xeq_b3_inv,gf180mcu_as_sc_mcu7t3v3__inv_2,83.99999999999997,19.6,2.24,3.92,N,bottom_ctrl_4
