name,cell,block,port,bit,phase,row_index,x_um,y_um,width_um,height_um,orient,gds
Xw0_bit02_write_driver,detronyx_12t_write_driver_rc1,write_driver,w0,2,0,0,197.43,610.95,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw0_bit04_write_driver,detronyx_12t_write_driver_rc1,write_driver,w0,4,0,0,223.535,610.95,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw0_bit06_write_driver,detronyx_12t_write_driver_rc1,write_driver,w0,6,0,0,249.635,610.95,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw0_bit08_write_driver,detronyx_12t_write_driver_rc1,write_driver,w0,8,0,0,275.74,610.95,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw0_bit10_write_driver,detronyx_12t_write_driver_rc1,write_driver,w0,10,0,0,301.845,610.95,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw0_bit12_write_driver,detronyx_12t_write_driver_rc1,write_driver,w0,12,0,0,327.95,610.95,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw0_bit14_write_driver,detronyx_12t_write_driver_rc1,write_driver,w0,14,0,0,354.05,610.95,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw0_bit16_write_driver,detronyx_12t_write_driver_rc1,write_driver,w0,16,0,0,380.155,610.95,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw0_bit18_write_driver,detronyx_12t_write_driver_rc1,write_driver,w0,18,0,0,406.26,610.95,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
Xw0_bit20_write_driver,detronyx_12t_write_driver_rc1,write_driver,w0,20,0,0,432.365,610.95,25.95,68.88,N,reports/periphery_block_leaves/detronyx_12t_write_driver_rc1/layout/detronyx_12t_write_driver_rc1.gds
